word,pos
powerful,adjective
precious,adjective
premium,adjective
present,adjective
pretty,adjective
previous,adjective
pricey,adjective
prickly,adjective
private,adjective
probable,adjective
productive,adjective
profuse,adjective
protective,adjective
proud,adjective
psychedelic,adjective
psychotic,adjective
public,adjective
puffy,adjective
pumped,adjective
puny,adjective
purple,adjective
purring,adjective
pushy,adjective
puzzled,adjective
puzzling,adjective
quack,adjective
quaint,adjective
quarrelsome,adjective
questionable,adjective
quick,adjective
quickest,adjective
quiet,adjective
quirky,adjective
quixotic,adjective
quizzical,adjective
rabid,adjective
racial,adjective
ragged,adjective
rainy,adjective
rambunctious,adjective
rampant,adjective
rapid,adjective
rare,adjective
raspy,adjective
ratty,adjective
ready,adjective
real,adjective
rebel,adjective
receptive,adjective
recondite,adjective
red,adjective
redundant,adjective
reflective,adjective
regular,adjective
relieved,adjective
remarkable,adjective
reminiscent,adjective
repulsive,adjective
resolute,adjective
resonant,adjective
responsible,adjective
rhetorical,adjective
rich,adjective
right,adjective
righteous,adjective
rightful,adjective
rigid,adjective
ripe,adjective
ritzy,adjective
roasted,adjective
robust,adjective
romantic,adjective
roomy,adjective
rotten,adjective
rough,adjective
round,adjective
royal,adjective
ruddy,adjective
rude,adjective
rural,adjective
rustic,adjective
ruthless,adjective
sable,adjective
sad,adjective
safe,adjective
salty,adjective
same,adjective
sassy,adjective
satisfying,adjective
savory,adjective
scandalous,adjective
scarce,adjective
scared,adjective
scary,adjective
scattered,adjective
scientific,adjective
scintillating,adjective
scrawny,adjective
screeching,adjective
second,adjective
second-hand,adjective
secret,adjective
secretive,adjective
sedate,adjective
seemly,adjective
selective,adjective
selfish,adjective
separate,adjective
serious,adjective
shaggy,adjective
shaky,adjective
shallow,adjective
sharp,adjective
shiny,adjective
shivering,adjective
shocking,adjective
short,adjective
shrill,adjective
shut,adjective
shy,adjective
sick,adjective
silent,adjective
silky,adjective
silly,adjective
simple,adjective
simplistic,adjective
sincere,adjective
skillful,adjective
skinny,adjective
sleepy,adjective
slim,adjective
slimy,adjective
slippery,adjective
sloppy,adjective
slow,adjective
small,adjective
smart,adjective
smelly,adjective
smiling,adjective
smoggy,adjective
smooth,adjective
sneaky,adjective
snobbish,adjective
snotty,adjective
soft,adjective
soggy,adjective
solid,adjective
somber,adjective
sophisticated,adjective
sordid,adjective
sore,adjective
sour,adjective
sparkling,adjective
special,adjective
spectacular,adjective
spicy,adjective
spiffy,adjective
spiky,adjective
spiritual,adjective
spiteful,adjective
splendid,adjective
spooky,adjective
spotless,adjective
spotted,adjective
spotty,adjective
spurious,adjective
squalid,adjective
square,adjective
squealing,adjective
squeamish,adjective
staking,adjective
stale,adjective
standing,adjective
statuesque,adjective
steadfast,adjective
steady,adjective
steep,adjective
stereotyped,adjective
sticky,adjective
stiff,adjective
stimulating,adjective
stingy,adjective
stormy,adjective
straight,adjective
strange,adjective
striped,adjective
strong,adjective
stupendous,adjective
stupid,adjective
sturdy,adjective
subdued,adjective
subsequent,adjective
substantial,adjective
successful,adjective
succinct,adjective
sudden,adjective
sulky,adjective
super,adjective
superb,adjective
superficial,adjective
supreme,adjective
swanky,adjective
sweet,adjective
sweltering,adjective
swift,adjective
symptomatic,adjective
synonymous,adjective
taboo,adjective
tacit,adjective
tacky,adjective
talented,adjective
tall,adjective
tame,adjective
tan,adjective
tangible,adjective
tangy,adjective
tart,adjective
tasteful,adjective
tasteless,adjective
tasty,adjective
tawdry,adjective
tearful,adjective
tedious,adjective
teeny,adjective
teeny-tiny,adjective
telling,adjective
temporary,adjective
ten,adjective
tender,adjective
tense,adjective
tenuous,adjective
terrible,adjective
terrific,adjective
tested,adjective
testy,adjective
thankful,adjective
therapeutic,adjective
thick,adjective
thin,adjective
thinkable,adjective
third,adjective
thirsty,adjective
thoughtful,adjective
thoughtless,adjective
threatening,adjective
thundering,adjective
tidy,adjective
tight,adjective
tightfisted,adjective
tiny,adjective
tired,adjective
tiresome,adjective
toothsome,adjective
torpid,adjective
tough,adjective
towering,adjective
tranquil,adjective
trashy,adjective
tremendous,adjective
tricky,adjective
trite,adjective
troubled,adjective
truculent,adjective
TRUE,adjective
truthful,adjective
typical,adjective
ubiquitous,adjective
ugliest,adjective
ugly,adjective
ultra,adjective
unable,adjective
unaccountable,adjective
unadvised,adjective
unarmed,adjective
unbecoming,adjective
unbiased,adjective
uncovered,adjective
understood,adjective
undesirable,adjective
unequal,adjective
unequaled,adjective
uneven,adjective
unhealthy,adjective
uninterested,adjective
unique,adjective
unkempt,adjective
unknown,adjective
unnatural,adjective
unruly,adjective
unsightly,adjective
unsuitable,adjective
untidy,adjective
unused,adjective
unusual,adjective
unwieldy,adjective
unwritten,adjective
upbeat,adjective
uppity,adjective
upset,adjective
uptight,adjective
used,adjective
useful,adjective
useless,adjective
utopian,adjective
utter,adjective
uttermost,adjective
vacuous,adjective
vagabond,adjective
vague,adjective
valuable,adjective
various,adjective
vast,adjective
vengeful,adjective
venomous,adjective
verdant,adjective
versed,adjective
victorious,adjective
vigorous,adjective
violent,adjective
violet,adjective
vivacious,adjective
voiceless,adjective
volatile,adjective
voracious,adjective
vulgar,adjective
wacky,adjective
waggish,adjective
waiting,adjective
wakeful,adjective
wandering,adjective
wanting,adjective
warlike,adjective
warm,adjective
wary,adjective
wasteful,adjective
watery,adjective
weak,adjective
wealthy,adjective
weary,adjective
well-groomed,adjective
well-made,adjective
well-off,adjective
well-to-do,adjective
wet,adjective
whimsical,adjective
whispering,adjective
white,adjective
whole,adjective
wholesale,adjective
wicked,adjective
wide,adjective
wide-eyed,adjective
wiggly,adjective
wild,adjective
willing,adjective
windy,adjective
wiry,adjective
wise,adjective
wistful,adjective
witty,adjective
woebegone,adjective
womanly,adjective
wonderful,adjective
wooden,adjective
woozy,adjective
workable,adjective
worried,adjective
worthless,adjective
wrathful,adjective
wretched,adjective
wrong,adjective
wry,adjective
yellow,adjective
yielding,adjective
young,adjective
youthful,adjective
yummy,adjective
zany,adjective
zealous,adjective
zesty,adjective
zippy,adjective
zonked,adjective
cyclopean,adjective
amorphous,adjective
blasphemous,adjective
hideous,adjective
loathsome,adjective
non-Euclidean,adjective
shaggy,adjective
FALSE,adjective
